| Array Size | Threads | Sequential (s) | Parallel (s) | Speedup |
|-------------|----------|----------------|---------------|----------|
| 100000 | 1 | 0.00760736 | 0.00836536 | 0.91× |
| 100000 | 2 | 0.00760736 | 0.00500815 | 1.52× |
| 100000 | 4 | 0.00760736 | 0.00465903 | 1.63× |
| 100000 | 8 | 0.00760736 | 0.00346965 | 2.19× |
| 1000000 | 1 | 0.0890023 | 0.100884 | 0.88× |
| 1000000 | 2 | 0.0890023 | 0.0548096 | 1.62× |
| 1000000 | 4 | 0.0890023 | 0.0474134 | 1.88× |
| 1000000 | 8 | 0.0890023 | 0.0330918 | 2.69× |
| 5000000 | 1 | 0.493344 | 0.556494 | 0.89× |
| 5000000 | 2 | 0.493344 | 0.299029 | 1.65× |
| 5000000 | 4 | 0.493344 | 0.235579 | 2.09× |
| 5000000 | 8 | 0.493344 | 0.171714 | 2.87× |
